,nickname,text,score,like,dislike,time,watch_movie
2886,메포렉(ybmc****),긴장감이 전혀없고 심지어 웃기기까지 하다 스케일만 키우지말고 생각도좀 키웠으면...양이많다고 맛있는건 아니잖아?,3,5,3,2013-06-24 16:51:00,0
2887,제이(brac****),이게 재미 없다는 색퀴들은 대체 다 머지 ㅋㅋㅋㅋ 연기.긴장감.몰입도. 스케일 뭐가 빠지지? ㅋㅋㅋㅋ 좀 구체적인 이유를 대봨ㅋㅋ 알바드립좀 그만치고 ㅋㅋㅋ,9,5,3,2013-06-24 14:12:00,0
2888,choi****,정말 재미없었고 돈을 날린기분이다.,1,5,3,2013-06-23 18:02:00,0
2889,Twinkle(youl****),완전 심장쫄리면서봣는ㄷ데 다본지금 1시간이지나도 두근거리고 여운이안가요....짱,10,5,3,2013-06-23 15:47:00,0
2890,사드백작(duke****),딴말 필요없고 피트가 나오는 좀비 영화! 무슨 심장이 쫄깃이냐 간이 콩알 만하냐 오빌리언만큼 재미가 없고 지루하다. 맨오브스틸이 나을듯 하네. 이영화 평점은 6점정도,1,5,3,2013-06-23 14:24:00,0
2891,기렵이(xhrl****),재밋음 ㅋ근데 토미 부모님죽엇는데 매우태연함 ㅋㅋ,9,5,3,2013-06-23 14:16:00,0
2892,sanoee(tmdg****),"원작 소설을 읽은 나로썬 뭔가 아쉬운 전개와 결말이었지만, 오래만에 본 A급 좀비영화였다...공포/호러/스릴/SF 와우...스케일 갑.",10,5,3,2013-06-22 23:05:00,0
2893,인생의걸림돌(is12****),재밌습니다. 진격의 거인처럼 쌓여진 성벽을 보고 살짝웃었네요 ㅋㅋ,10,5,3,2013-06-22 22:53:00,0
2894,히히(3333****),솔직하게 재밌어요 ㅋㅋㅋ 좀비영화에서 작품성하고 훌륭한 엔딩을 원하는게 비정상 아님? ㅋㅋ 스릴넘치고 그냥 재밌는영화,10,5,3,2013-06-22 22:10:00,0
2895,ㅇzㅇ(rari****),엄청재미있음 ㅎㅎ 결말 괜찮던데?? 제일 이상적인결말인가같음,10,5,3,2013-06-22 21:12:00,0
2896,rlaw****,내가 봤던 좀비영화 중 최고!!!!!!!!!!!!!!!!!!!!!!!!!!! 스릴감 넘침,10,5,3,2013-06-22 09:54:00,0
2897,카인(sson****),재미없다. 지루하다. 졸렸다. 브래드피트가 아깝다.  예고편 장면이 다임.,5,5,3,2013-06-22 09:08:00,0
2898,axlh****,내가 왠만하면 영화보고 댓글 안다는데..진짜 1점 준 인가들 뭐니.. 내용도 보면말도 안되는 평점 깍을려고 소위 알바 티가 너무난다.. OO시키들 밥은 먹고 다니냐..? 니들 때문에 글 지우고 쓰고 지우고 참 나도 ...,10,5,3,2013-06-22 00:05:00,0
